"bairro","cidade","bairro-2","cidade-2","distancia","distancia_km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM CAMBURI"," VITORIA",29710,"29,7 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM DA PENHA"," VITORIA",33353,"33,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ENSEADA DO SUÁ"," VITORIA",15288,"15,3 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","FORTE SÃO JOÃO"," VITORIA",12156,"12,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SÃO CRISTOVÃO"," VITORIA",16386,"16,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SANTA MARTHA"," VITORIA",34366,"34,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM CAMBURI"," VITORIA",29710,"29,7 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PRAIA DO CANTO"," VITORIA",18025,"18,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CENTRO"," VITORIA",17135,"17,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ITARARE"," VITORIA",17427,"17,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JABOUR"," VITORIA",29290,"29,3 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","GRANDE VITÓRIA"," VITORIA",15030,"15,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ALTO LAGE"," CARIACICA",5278,"5,3 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","OPERARIOS"," CARIACICA",4899,"4,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SANTA CECILIA"," CARIACICA",2259,"2,3 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VILA CAPIXABA"," CARIACICA",2097,"2,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VERA CRUZ"," CARIACICA",5331,"5,3 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CAMPO VERDE"," CARIACICA",7602,"7,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ITACIBA"," CARIACICA",8634,"8,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","TUCUM"," CARIACICA",6009,"6,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ITANGUA"," CARIACICA",2848,"2,8 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PORTO DE SANTANA"," CARIACICA",7802,"7,8 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","NOVA ROSA PENHA"," CARIACICA",10981,"11,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ITAPEMIRIM"," CARIACICA",7243,"7,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM CAMPO GRANDE"," CARIACICA",7284,"7,3 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SÃO GERALDO"," CARIACICA",5730,"5,7 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CAMPO GRANDE"," CARIACICA",4236,"4,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CRUZEIRO DO SUL"," CARIACICA",4644,"4,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM AMÉRICA"," CARIACICA",7178,"7,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CARIACICA SEDE"," CARIACICA",11069,"11,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","BOA SORTE"," CARIACICA",7661,"7,7 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SÃO FRANCISCO"," CARIACICA",4856,"4,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VALE DOS REIS"," CARIACICA",6151,"6,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SANTO ANDRÉ"," CARIACICA",5241,"5,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","FLEXAL II"," CARIACICA",7462,"7,5 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SÃO FRANCISCO"," CARIACICA",4856,"4,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SANTA BARBARA"," CARIACICA",4941,"4,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","N R DA PENHA"," CARIACICA",5996,"6,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SANTO ANDRÉ"," CARIACICA",5241,"5,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PORTO DE CARIACICA"," CARIACICA",9642,"9,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SÃO GERALDO"," CARIACICA",5730,"5,7 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CASTELO BRANCO"," CARIACICA",8998,"9,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PLANETA 2"," CARIACICA",7910,"7,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VILA GRAUNA"," CARIACICA",6236,"6,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ROSA DA PENHA"," CARIACICA",6096,"6,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","TIRADENTE"," CARIACICA",5463,"5,5 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","BOM BOSCO"," CARIACICA",3031,"3,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VALE DA ESPERANÇA"," CARIACICA",7474,"7,5 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ITAQUARI. BELA AURORA"," CARIACICA",8011,"8,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CRUZEIRO DO SUL"," CARIACICA",4644,"4,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","NOVA ROSA DA PENHA"," CARIACICA",10981,"11,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","FLEXAL I"," CARIACICA",7641,"7,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","NOVA BRASÍLIA"," CARIACICA",3007,"3,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JUCU"," VIANA",14170,"14,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SANTA TEREZINHA"," VIANA",6858,"6,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VILA BETÂNIA"," VIANA",6173,"6,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PEDRA MULATA"," VIANA",23367,"23,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ARLINDO VILASQUE"," VIANA",7110,"7,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VILA NOVA"," VIANA",7466,"7,5 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","UNIVERSAL"," VIANA",7151,"7,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CARIOCA"," VIANA",517593,"518 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PRIMAVERA"," VIANA",4902,"4,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","MARCILIO DE NORONHA"," VIANA",3936,"3,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","BOM PASTOR"," VIANA",11065,"11,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VILA BETHANIA"," VIANA",6173,"6,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","IPANEMA"," VIANA",7061,"7,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PRAIA DAS GAIVOTAS"," VILA VELHA",15272,"15,3 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CENTRO"," VILA VELHA",17442,"17,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SANTOS DUMONT"," VILA VELHA",14244,"14,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM MARILÂNDIA"," VILA VELHA",10829,"10,8 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","RIO MARINHO"," VILA VELHA",10211,"10,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","RIVIEIRA DA BARRA"," VILA VELHA",22031,"22,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","GLÓRIA"," VILA VELHA",14165,"14,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VALE ENCANTADO"," VILA VELHA",17076,"17,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PRAIA DA COSTA"," VILA VELHA",21082,"21,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM ASTECA"," VILA VELHA",14044,"14,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","TERRA VERMELHA"," VILA VELHA",25807,"25,8 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PRAIA DE ITAPARICA"," VILA VELHA",17067,"17,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ALECRIM"," VILA VELHA",10583,"10,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","DIVINO ESPIRITO SANTO"," VILA VELHA",16580,"16,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","BOA VISTA"," VILA VELHA",17521,"17,5 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SANTA MONICA"," VILA VELHA",15984,"16,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ILHA DOS BENTOS"," VILA VELHA",15084,"15,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","NOVA ALMEIDA"," SERRA",52626,"52,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","BOULEVARD LAGOA"," SERRA",38435,"38,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PARQUE JACARAIPE"," SERRA",41235,"41,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CENTRAL DE CARAPINA"," SERRA",28975,"29,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM ATLANTICO"," SERRA",42823,"42,8 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","LARANJEIRAS VELHAS"," SERRA",31600,"31,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CIDADE POMAR"," SERRA",36974,"37,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PRAIA CARAPEUS"," SERRA",35964,"36,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","COLINA LARANJEIRA"," SERRA",32362,"32,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","RESIDENCIAL JACARAI"," SERRA",43805,"43,8 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","JARDIM CARAPINA"," SERRA",25431,"25,4 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CARAPINA GRANDE"," SERRA",26197,"26,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","NOVO HORIZONTE"," SERRA",30239,"30,2 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PLANALTO SERRANO"," SERRA",38992,"39,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","VALPARAISO"," SERRA",31109,"31,1 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CIVIT II"," SERRA",35030,"35,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ITAPEBUSSU"," GUARAPARI",45595,"45,6 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","RECANTO DA SEREIA"," GUARAPARI",40996,"41,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","SÃO JUDAS TADEU"," GUARAPARI",46939,"46,9 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","MEAIPE"," GUARAPARI",58983,"59,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","BELA VISTA"," COLATINA",148992,"149 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CENTRO"," COLATINA",149521,"150 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","NOSSA SENHORA DA APARECIDA"," COLATINA",149729,"150 km"
