"id_cidade","bairro","cidade","destino_api"
1,"BR-262, 5200 - Rio Branco"," CARIACICA","BR-262, 5200 - Rio Branco, Cariacica - ES, Brasil"
2,"JARDIM CAMBURI"," VITORIA","Jardim Camburi, Vitória - ES, Brasil"
3,"JARDIM DA PENHA"," VITORIA","Jardim da Penha, Vitória - ES, Brasil"
4,"ENSEADA DO SUÁ"," VITORIA","Enseada do Suá, Vitória - ES, Brasil"
5,"FORTE SÃO JOÃO"," VITORIA","Forte São João, Vitória - ES, Brasil"
6,"SÃO CRISTOVÃO"," VITORIA","São Cristovão, Vitória - ES, Brasil"
7,"SANTA MARTHA"," VITORIA","Santa Martha, Vitória - ES, Brasil"
8,"JARDIM CAMBURI"," VITORIA","Jardim Camburi, Vitória - ES, Brasil"
9,"PRAIA DO CANTO"," VITORIA","Praia do Canto, Vitória - ES, Brasil"
10,"CENTRO"," VITORIA","Vitória, ES, Brasil"
11,"ITARARE"," VITORIA","Itararé, Vitória - ES, Brasil"
12,"JABOUR"," VITORIA","Jabour, Vitória - ES, Brasil"
13,"GRANDE VITÓRIA"," VITORIA","Grande Vitória, Vitória - ES, Brasil"
14,"ALTO LAGE"," CARIACICA","Alto Lage, Cariacica - ES, Brasil"
15,"OPERARIOS"," CARIACICA","Operário, Cariacica - ES, Brasil"
16,"SANTA CECILIA"," CARIACICA","Santa Cecília, Cariacica - ES, Brasil"
17,"VILA CAPIXABA"," CARIACICA","Vila Capixaba, Cariacica - ES, Brasil"
18,"VERA CRUZ"," CARIACICA","Vera Cruz, Cariacica - ES, Brasil"
19,"CAMPO VERDE"," CARIACICA","Campo Verde, Cariacica - ES, Brasil"
20,"ITACIBA"," CARIACICA","Itacibá, Cariacica - ES, Brasil"
21,"TUCUM"," CARIACICA","Tucum, Cariacica - ES, Brasil"
22,"ITANGUA"," CARIACICA","Itanguá, Cariacica - ES, Brasil"
23,"PORTO DE SANTANA"," CARIACICA","Porto de Santana, Cariacica - ES, Brasil"
24,"NOVA ROSA PENHA"," CARIACICA","Nova Rosa da Penha, Cariacica - ES, Brasil"
25,"ITAPEMIRIM"," CARIACICA","Itapemirim, Cariacica - ES, Brasil"
26,"JARDIM CAMPO GRANDE"," CARIACICA","Jardim Campo Grande, Cariacica - ES, Brasil"
27,"SÃO GERALDO"," CARIACICA","São Geraldo, Cariacica - ES, 29140-000, Brasil"
28,"CAMPO GRANDE"," CARIACICA","Campo Grande, Cariacica - ES, Brasil"
29,"CRUZEIRO DO SUL"," CARIACICA","Cruzeiro do Sul, Cariacica - ES, 29144-080, Brasil"
30,"JARDIM AMÉRICA"," CARIACICA","Jardim América, Cariacica - ES, Brasil"
31,"CARIACICA SEDE"," CARIACICA","Cariacica Sede, Cariacica - ES, Brasil"
32,"BOA SORTE"," CARIACICA","Boa Sorte, Cariacica - ES, 29140-000, Brasil"
33,"SÃO FRANCISCO"," CARIACICA","São Francisco, Cariacica - ES, Brasil"
34,"VALE DOS REIS"," CARIACICA","Vale dos Reis, Cariacica - ES, Brasil"
35,"SANTO ANDRÉ"," CARIACICA","Santo André, Cariacica - ES, Brasil"
36,"FLEXAL II"," CARIACICA","Flexal II, Cariacica - ES, Brasil"
37,"SÃO FRANCISCO"," CARIACICA","São Francisco, Cariacica - ES, Brasil"
38,"SANTA BARBARA"," CARIACICA","Santa Barbara, Cariacica - ES, Brasil"
39,"N R DA PENHA"," CARIACICA","R. Castelo Branco, 34 - Rosa da Penha, Cariacica - ES, 29143-362, Brasil"
40,"SANTO ANDRÉ"," CARIACICA","Santo André, Cariacica - ES, Brasil"
41,"PORTO DE CARIACICA"," CARIACICA","Porto de Cariacica, Cariacica - ES, Brasil"
42,"SÃO GERALDO"," CARIACICA","São Geraldo, Cariacica - ES, 29140-000, Brasil"
43,"CASTELO BRANCO"," CARIACICA","Castelo Branco, Cariacica - ES, Brasil"
44,"PLANETA 2"," CARIACICA","Rod. Gov. José Sete, 1 - Tabajara, Cariacica - ES, Brasil"
45,"VILA GRAUNA"," CARIACICA","Graúna, Cariacica - ES, Brasil"
46,"ROSA DA PENHA"," CARIACICA","Rosa da Penha, Cariacica - ES, 29140-000, Brasil"
47,"TIRADENTE"," CARIACICA","Tiradentes, Cariacica - ES, Brasil"
48,"BOM BOSCO"," CARIACICA","Dom Bosco, Cariacica - ES, Brasil"
